id,name,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
372,Hertzing,48.683333,6.95,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
373,Bebing,48.7,7,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
376,Drouilly,48.766667,4.516667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
377,Aiguillon,44.2987224,0.3352388,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
378,St-Martin-aux-Champs,48.816667,4.483333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
379,Bouilly,48.2,4,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
380,Chamoy,48.116667,3.966667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
381,Jeugny,48.128443,4.039581,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
382,Montigny-les-Monts,48.1,3.95,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
383,St-Germain Mairie,48.259911,4.007804,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
384,St-Jean-de-Bonneval,48.166667,4.05,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
385,St-Phal Monument aux morts,48.116667,4,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
386,Villery,48.165524,4.023086,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
387,Neuvy-Sautour RN,48.033333,3.8,4529,FR,Europe/Paris,FALSE,FALSE,FALSE
388,Brienon Mairie,48,3.616667,9151,FR,Europe/Paris,FALSE,FALSE,FALSE
389,St-Lye,48.366667,4,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
390,Payns,48.383333,3.966667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
391,Savieres,48.416667,3.95,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
392,St-Mesmin,48.45,3.933333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
393,Vallant-St-Georges,48.466168,3.899331,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
394,Chatres,48.5,3.85,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
395,Maizieres-La Grande-Paroisse,48.516667,3.783333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
396,Romilly-sur-Seine,48.514433,3.728887,5092,FR,Europe/Paris,FALSE,TRUE,FALSE
399,Marnay-sur-Seine,48.516667,3.55,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
400,Nogent-sur-Seine,48.49783878,3.49372888,4864,FR,Europe/Paris,FALSE,TRUE,FALSE
401,Aigueperse,46.0147884,3.1982621,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
402,Vendeuvre,48.2400686,4.4672135,5625,FR,Europe/Paris,FALSE,TRUE,FALSE
403,Bar-sur-Aube,48.2385399,4.7066708,5132,FR,Europe/Paris,FALSE,TRUE,FALSE
404,St-Florentin Hotel de Ville,48,3.733333,5193,FR,Europe/Paris,FALSE,FALSE,FALSE
405,Laroche-Migennes Hotel Terminus,NA,NA,9150,FR,Europe/Paris,FALSE,FALSE,FALSE
406,Foug,48.6792561,5.7912761,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
407,Fontenoy-sur-Moselle,48.711721,5.9803654,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
408,Liverdun,48.7493158,6.0617374,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
409,Champigneulles,48.73499,6.16913,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
410,Laneuveville-devant-Nancy,48.65564,6.22792,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
